DATE,TICKER,TOTAL_SALES
"2014-01","1301","21049027"
"2014-02","1301","24881772"
"2014-03","1301","33947832"
"2014-04","1301","24015019"
"2014-05","1301","24083923"
"2014-06","1301","28897052"
"2014-07","1301","27030191"
"2014-08","1301","27959305"
"2014-09","1301","23506967"
"2014-10","1301","24824695"
"2014-11","1301","23196764"
"2014-12","1301","27987100"
"2015-01","1301","25254608"
"2015-02","1301","24787570"
"2015-03","1301","27403809"
"2015-04","1301","24904696"
"2015-05","1301","26222072"
"2015-06","1301","24680157"
"2015-07","1301","24500432"
"2015-08","1301","27193502"
"2015-09","1301","28805665"
"2015-10","1301","27331820"
"2015-11","1301","26901605"
"2015-12","1301","30027130"
"2016-01","1301","27910737"
"2016-02","1301","25805331"
"2016-03","1301","27418390"
"2016-04","1301","31024443"
"2016-05","1301","30716847"
"2016-06","1301","24243745"
"2016-07","1301","23451174"
"2016-08","1301","26638515"
"2016-09","1301","25871288"
"2016-10","1301","29521761"
"2016-11","1301","27648327"
"2016-12","1301","29398498"
"2017-01","1301","25476791"
"2017-02","1301","27686729"
"2017-03","1301","26667704"
"2017-04","1301","29604040"
"2017-05","1301","29003883"
"2017-06","1301","26907113"
"2017-07","1301","28462375"
"2017-08","1301","30723455"
"2017-09","1301","31210944"
"2017-10","1301","33804407"
"2017-11","1301","29214438"
"2017-12","1301","36751874"
"2018-01","1301","28078361"
"2018-02","1301","26506891"
"2018-03","1301","26750882"
"2018-04","1301","24276160"
"2018-05","1301","24623554"
"2018-06","1301","25497911"
"2018-07","1301","26341990"
"2018-08","1301","26591453"
"2018-09","1301","27572789"
"2018-10","1301","28484679"
"2018-11","1301","28567055"
"2018-12","1301","32177107"
"2019-01","1301","26109863"
"2019-02","1301","31539934"
"2019-03","1301","32356862"
"2019-04","1301","27805716"
"2019-05","1301","27533610"
"2019-06","1301","29390552"
"2019-07","1301","26842895"
"2019-08","1301","26926095"
"2019-09","1301","28447665"
"2019-10","1301","28888239"
"2019-11","1301","24641035"
"2019-12","1301","29275622"
"2020-01","1301","26102256"
"2020-02","1301","29303458"
"2020-03","1301","38612556"
"2020-04","1301","38320017"
"2020-05","1301","27578954"
"2020-06","1301","26487664"
"2020-07","1301","23606340"
"2020-08","1301","23878103"
"2020-09","1301","25354892"
"2020-10","1301","23651917"
"2020-11","1301","23078601"
"2020-12","1301","27581953"
"2021-01","1301","23292005"
"2021-02","1301","21748973"
"2021-03","1301","25956319"
"2021-04","1301","21424091"
"2021-05","1301","22123006"
"2021-06","1301","21628933"
"2021-07","1301","19803377"
"2021-08","1301","23003331"
"2021-09","1301","22334747"
"2021-10","1301","20570265"
"2021-11","1301","21908624"
"2021-12","1301","30989724"
"2022-01","1301","22179722"
"2022-02","1301","23328254"
"2022-03","1301","25835633"
"2022-04","1301","20851018"
"2022-05","1301","22461158"
"2022-06","1301","19624695"
"2022-07","1301","19449858"
"2022-08","1301","20189102"
"2022-09","1301","24848503"
"2022-10","1301","21705599"
"2022-11","1301","24926022"
"2022-12","1301","24338460"
"2023-01","1301","24735353"
"2023-02","1301","24708394"
"2023-03","1301","23828784"
"2023-04","1301","26388311"
"2023-05","1301","27295894"
"2023-06","1301","27225189"
"2023-07","1301","26060207"
"2023-08","1301","27820903"
"2023-09","1301","27708010"
"2023-10","1301","28972009"
"2023-11","1301","29347079"
"2023-12","1301","30652483"
"2024-01","1301","28614114"
"2024-02","1301","28024236"
"2024-03","1301","29774937"
"2024-04","1301","28164980"
"2024-05","1301","27622202"
"2024-06","1301","27446129"
"2024-07","1301","26814634"
"2024-08","1301","29814310"
"2024-09","1301","26390187"
"2024-10","1301","24351481"
"2024-11","1301","25128612"
"2024-12","1301","27754359"
"2025-01","1301","26427814"
"2025-02","1301","26023148"
