Date,Portfolio_Return,Market_Return,Risk_Free_Rate,SMB,HML
2021-02,-0.108379,0.027,-0.001,-0.011,0.082
2021-03,0.054022,0.060,-0.001,0.051,0.102
2021-04,0.016017,-0.031,-0.001,-0.016,-0.027
2021-05,0.047126,0.017,-0.001,-0.015,0.032
2021-06,0.008033,0.009,-0.001,0.028,-0.026
2021-07,0.001918,-0.019,-0.001,-0.002,0.026
2021-08,0.069422,0.033,-0.001,-0.002,-0.027
2021-09,0.007281,0.051,-0.001,0.002,0.036
2021-10,0.031522,-0.022,-0.001,0.010,0.009
2021-11,0.010419,-0.031,-0.002,-0.020,-0.029
2021-12,-0.024771,0.032,-0.001,0.008,0.081
2022-01,-0.012782,-0.048,-0.001,-0.050,0.149
2022-02,0.001869,-0.001,-0.001,0.020,0.023
2022-03,0.008249,0.038,-0.001,0.039,0.017
2022-04,-0.001263,-0.016,-0.002,0.062,0.120
2022-05,-0.006757,-0.008,-0.001,-0.022,-0.014
2022-06,0.019889,-0.005,-0.001,0.082,0.100
2022-07,-0.026221,0.032,-0.001,-0.016,-0.079
2022-08,0.04743,0.015,-0.001,0.057,0.052
2022-09,0.021417,-0.051,-0.002,0.056,0.065
2022-10,0.009326,0.049,-0.001,0.017,-0.006
2022-11,0.023326,0.036,-0.002,-0.060,-0.059
2022-12,-0.001002,-0.040,-0.002,-0.038,0.020
2023-01,-0.023691,0.037,-0.002,-0.018,-0.029
2023-02,-0.015926,0.015,-0.002,0.052,0.101
2023-03,0.005206,0.018,-0.002,-0.024,-0.061
2023-04,0.02001,0.022,-0.002,0.003,0.052
2023-05,0.008362,0.040,-0.002,-0.012,0.011
2023-06,0.010062,0.078,-0.001,0.021,0.073
2023-07,-0.021479,0.011,-0.001,-0.025,0.036
2023-08,0.014472,0.011,-0.003,0.033,0.062
2023-09,-0.02539,-0.000,-0.002,0.012,0.103
2023-10,-0.007804,-0.034,-0.002,0.002,0.034
2023-11,0.004063,0.058,-0.001,-0.030,-0.069
2023-12,0.000701,0.008,-0.001,-0.022,-0.053
2024-01,0.015698,0.078,-0.002,0.011,0.087
2024-02,-0.019234,0.044,-0.001,-0.007,0.013
2024-03,0.025506,0.044,-0.001,-0.000,0.063
2024-04,0.00489,-0.021,0.000,0.021,0.086
2024-05,0.009127,0.011,0.001,-0.009,0.024
2024-06,-0.001118,0.017,0.000,0.045,0.003
2024-07,0.004839,-0.001,0.001,-0.062,-0.057
2024-08,-0.007802,-0.041,0.001,-0.029,-0.095
