date,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,Unnamed: 12,Unnamed: 13,Residual,TradingGains/Losses,GDI,Income from /to the Rest of the World,Unnamed: 19,Unnamed: 20,GNI,DomesticDemand,PrivateDemand,PublicDemand,Gross Fixed CapitalFormation,Final Sales of Domestic Product
1994-01-01,446231.2,247445.1,243562.4,208517.3,29812.0,66259.2,4239.2,71357.4,47101.5,-542.3,-7720.4,37755.8,45476.2,-11720.6,19378.8,465609.9,4121.8,14526.8,10404.9,469731.8,462267.1,346396.6,115945.4,139769.5,442167.2
1994-04-01,443811.5,248847.6,244908.6,209659.1,31118.5,66065.0,-2897.9,72243.8,48011.9,622.8,-8364.5,37963.7,46328.2,-11835.8,18742.7,462554.2,3799.8,14473.7,10673.9,466354.0,460081.7,341680.2,118659.9,141499.8,445619.2
1994-07-01,448902.6,250600.6,246639.4,211174.7,33628.1,65999.2,-305.1,72789.1,46297.2,806.2,-9067.6,38658.1,47725.8,-11845.1,18143.1,467045.6,3871.4,14798.6,10927.2,470917.0,465685.7,348082.8,117731.3,142083.2,448120.9
1994-10-01,447185.3,250766.5,246760.5,211118.5,32218.2,67028.9,-1560.8,72950.1,45574.1,853.3,-9379.2,38820.4,48199.6,-11265.9,18530.1,465715.4,3902.5,15316.0,11413.5,469617.9,464028.5,346907.0,117246.6,141338.8,447555.8
1995-01-01,452028.0,252849.5,248776.5,212933.2,31121.5,68647.7,2245.6,74470.6,43635.5,-27.7,-10500.4,39311.5,49811.9,-10414.3,18955.5,470983.5,3954.7,15603.9,11649.2,474938.2,469743.3,353521.9,116209.4,140427.9,449456.9
1995-04-01,456342.1,254971.1,250815.5,214779.8,30381.5,71088.0,1102.5,74611.4,45415.7,199.2,-11408.9,39897.5,51306.4,-10018.3,19770.0,476112.1,3171.8,14793.9,11622.1,479283.9,474710.2,356514.8,118227.3,144021.4,454676.5
1995-07-01,461684.4,256342.3,252112.8,215897.6,29741.6,72334.5,2095.8,75543.1,48920.0,173.1,-13894.2,40273.5,54167.6,-9571.7,20655.2,482339.6,4656.5,18631.0,13974.5,486996.1,481946.0,359647.7,122466.0,147933.2,459094.7
1995-10-01,462870.6,258145.6,253879.2,217464.3,30431.1,73525.1,1079.6,75789.2,49119.9,235.2,-16597.1,40157.8,56754.9,-8858.1,21317.6,484188.2,4938.4,19255.6,14317.2,489126.6,485129.8,362328.3,122948.6,150004.1,461191.9
1996-01-01,466636.8,257467.6,253194.1,216600.0,31805.6,73285.0,1606.8,76459.1,51638.5,596.8,-17004.7,40800.4,57805.1,-9217.9,20784.4,487421.2,5616.7,11819.4,6202.6,493037.9,489133.8,363111.1,126279.4,153188.9,464195.6
1996-04-01,472556.5,260592.2,256314.3,219491.9,33278.5,75804.0,2967.4,76391.8,50911.4,190.8,-18808.2,40751.4,59559.6,-8771.3,19950.0,492506.6,6291.1,12020.0,5728.9,498797.7,496638.4,371551.7,125197.6,156552.6,469128.7
