date,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,Unnamed: 12,Unnamed: 13,Income from to the Rest of the World,Unnamed: 16,Unnamed: 17,GNI,DomesticDemand,PrivateDemand,PublicDemand,Gross Fixed CapitalFormation,Final Sales of Domestic Product
1994-01-01,510124.3,266588.0,262024.6,227581.2,28673.8,80433.4,3837.6,73546.9,46407.7,-417.7,11054.6,44988.0,33933.4,4449.8,15709.9,11260.1,514574.1,499069.7,379532.7,119536.9,155514.9,506704.4
1994-04-01,509020.8,269176.3,264539.8,229724.6,29969.8,79979.9,-3062.3,75112.5,47379.8,489.0,9975.9,45500.0,35524.2,4147.4,15649.7,11502.3,513168.2,499045.0,376063.7,122981.3,157329.5,511594.2
1994-07-01,512968.3,270665.3,265999.0,230776.4,32363.1,79430.6,-156.6,75898.3,45544.1,656.8,8566.6,45053.8,36487.2,4190.0,16017.5,11827.5,517158.3,504401.6,382302.4,122099.3,157337.8,512468.1
1994-10-01,511602.0,271238.6,266519.3,230815.3,30940.0,80298.5,-1570.5,76696.6,44707.9,706.3,8584.6,45109.8,36525.2,4207.5,16563.0,12355.4,515809.6,503017.4,380906.6,122110.7,155946.4,512466.2
1995-01-01,514909.9,272734.2,267946.3,231874.5,29884.3,82049.8,2060.8,77678.5,42842.0,-147.4,7807.7,45054.1,37246.3,4263.0,16862.0,12599.0,519172.9,507102.1,386729.1,120373.0,154776.0,512996.5
1995-04-01,518768.3,274203.3,269340.0,232928.3,28982.9,84418.3,935.9,78137.1,44468.2,220.5,7402.2,44073.6,36671.3,3448.2,15897.1,12448.9,522216.5,511366.1,388540.4,122825.7,157869.4,517612.0
1995-07-01,525376.5,275784.1,270850.0,234038.0,28386.3,85770.3,2111.9,79100.3,47791.3,178.7,6253.6,46803.4,40549.8,5015.9,20054.7,15038.8,530392.4,519122.9,392052.5,127070.4,161947.8,523085.8
1995-10-01,527052.4,277876.1,272898.5,235719.2,28943.2,86906.1,1043.2,79652.6,47961.6,221.8,4447.9,47882.0,43434.1,5279.8,20687.5,15407.7,532332.3,522604.6,394768.6,127836.0,163810.9,525787.5
1996-01-01,528986.5,276912.6,271915.4,234359.7,30312.7,86233.0,1303.2,79774.0,50359.3,486.0,3605.8,48837.3,45231.5,6034.2,12705.4,6671.3,535020.7,525380.8,394761.5,130619.3,166905.0,527197.4
1996-04-01,536036.2,281094.1,276062.8,238060.8,31707.5,88655.2,3034.6,80799.8,49492.2,151.1,1101.7,48942.3,47840.6,6773.7,12916.1,6142.4,542809.8,534934.5,404491.4,130443.1,169854.9,532850.5
1996-07-01,536138.8,281170.5,276099.8,237667.9,33106.7,89608.7,1598.3,81707.9,47381.2,188.0,1377.5,49657.9,48280.4,6472.0,12412.5,5940.5,542610.8,534761.3,405484.2,129277.1,170096.6,534352.5
1996-10-01,541160.4,284258.3,279175.7,240296.9,33988.0,89691.8,2524.1,82119.4,46426.3,231.0,1921.5,52018.9,50097.4,6624.8,12546.6,5921.7,547785.3,539238.9,410462.1,128776.7,170106.0,538405.3
1997-01-01,542127.3,288438.6,283371.1,244069.3,33068.1,90453.9,-656.2,82705.8,45700.7,141.8,2274.6,55132.9,52858.2,7218.2,13365.6,6147.4,549345.5,539852.6,411304.4,128548.3,169222.7,542641.6
1997-04-01,544072.6,285133.4,280144.4,240407.7,30419.0,90647.4,2577.2,83289.7,46296.1,98.8,5611.0,56890.4,51279.4,7386.7,13441.6,6054.9,551459.3,538461.6,408777.0,129684.6,167362.5,541396.7
1997-07-01,544036.7,285594.7,280664.2,240549.1,28376.5,90792.0,4710.5,82943.3,46399.4,138.3,5081.9,55287.4,50205.5,6440.1,12660.8,6220.7,550476.7,538954.8,409473.7,129481.0,165567.8,539187.8
1997-10-01,544982.6,284758.4,279735.1,239282.0,27020.6,92824.3,3943.9,83676.5,43977.2,406.5,8375.3,58428.4,50053.1,7604.0,14354.2,6750.2,552586.7,536607.3,408547.2,128060.2,163822.1,540632.2
1998-01-01,537965.7,283967.1,278705.8,237859.0,26189.8,91037.9,3281.4,83618.1,41284.0,234.6,8352.9,56882.3,48529.4,7190.4,13534.2,6343.8,545156.1,529612.9,404476.2,125136.6,158511.7,534449.8
1998-04-01,534811.1,283430.2,277899.9,236888.9,25537.5,89916.1,1703.3,83445.7,40731.0,135.1,9912.2,56686.2,46774.0,6079.1,12669.4,6590.3,540890.2,524898.9,400587.1,124311.8,156184.6,532972.6
1998-07-01,533907.1,284808.0,279061.5,237749.9,24909.9,89028.5,-462.1,83649.7,42429.4,-67.6,9611.4,57148.5,47537.1,6870.9,12775.4,5904.5,540778.1,524295.7,398284.3,126011.5,156367.8,534436.8
1998-10-01,539284.6,285486.2,279594.8,238187.3,24211.4,86017.3,2432.7,85439.3,46466.6,-544.3,9775.4,52150.1,42374.7,6235.7,10889.7,4654.1,545520.3,529509.2,398147.6,131361.6,156695.2,537396.2
1999-01-01,529073.1,285186.0,279230.5,237668.7,23854.4,83194.4,-3539.2,85294.5,46345.7,-75.8,8813.1,50677.6,41864.5,5535.7,10590.2,5054.4,534608.8,520260.0,388695.6,131564.4,153394.6,532688.2
1999-04-01,529015.3,285057.6,278955.8,237200.5,25398.0,83338.5,-3859.9,85849.0,45352.2,-5.3,7885.3,51698.6,43813.2,6683.9,10884.6,4200.7,535699.3,521130.0,389934.1,131195.9,154088.6,532880.6
1999-07-01,528595.2,286727.9,280451.5,238450.9,25682.1,82693.4,-3374.5,85564.9,43952.6,1.8,7346.9,52189.4,44842.4,6774.8,10639.6,3864.8,535370.0,521248.3,391729.0,129519.3,152328.1,531967.9
1999-10-01,527842.9,286603.4,280366.7,238146.0,24526.2,83358.3,-3530.5,85918.0,43678.7,-337.2,7626.0,52769.6,45143.6,7072.6,10815.6,3743.0,534915.5,520216.9,390957.4,129259.5,151563.2,531710.6
2000-01-01,535160.4,287791.0,281828.1,239381.7,24882.6,86691.9,-1584.3,87357.6,41479.4,152.0,8390.2,54638.6,46248.4,6766.7,11220.5,4453.8,541927.1,526770.1,397781.2,128989.0,153053.8,536592.6
2000-04-01,535345.7,286351.6,280747.0,238066.7,25384.2,84798.8,1187.0,88273.7,41061.0,39.3,8250.2,55494.1,47244.0,8178.2,12027.0,3848.8,543523.9,527095.5,397721.5,129374.0,151244.0,534119.4
2000-07-01,534450.4,286343.6,280995.6,238124.2,24993.2,87439.4,-1142.1,89286.3,40310.0,-35.2,7255.2,56544.4,49289.2,8126.4,12105.6,3979.2,542576.7,527195.2,397634.1,129561.1,152742.6,535627.7
2000-10-01,537817.7,288792.2,283488.5,240376.8,25376.4,89570.0,136.9,89542.7,38835.9,-68.4,5632.0,57597.1,51965.1,8081.7,12471.1,4389.3,545899.4,532185.6,403875.4,128310.2,153782.2,537749.1
2001-01-01,542585.6,290567.6,285108.2,241877.1,25325.3,89305.8,2011.7,91120.6,40559.6,24.4,3670.5,56140.4,52469.8,8386.0,12851.5,4465.5,550971.6,538915.1,407210.5,131704.6,155190.8,540549.5
2001-04-01,534229.7,290641.7,284975.1,241417.9,23880.4,86292.0,2209.1,91173.3,38104.1,-174.5,2103.5,53952.3,51848.8,8151.3,12379.0,4227.7,542381.0,532126.2,403023.3,129102.9,148276.5,532195.1
2001-07-01,527046.7,289489.7,283704.1,239946.5,23568.3,84252.2,-2075.4,91675.4,37782.4,-211.0,2565.1,52388.7,49823.5,8026.8,12023.7,3996.9,535073.6,524481.6,395234.8,129246.8,145603.0,529333.2
2001-10-01,523899.0,287343.4,281559.8,237606.0,23601.7,80422.9,-1021.9,92347.0,36748.0,-30.7,4488.6,51978.8,47490.3,8479.1,11973.4,3494.3,532378.2,519410.4,390346.1,129064.4,140772.6,524951.6
2002-01-01,525491.7,288370.9,282716.6,238630.1,23313.6,79517.7,-3251.5,94541.0,37082.5,-91.3,6008.9,54787.4,48778.5,8284.8,11461.4,3176.7,533776.5,519482.9,387950.7,131532.1,139913.7,528834.5
2002-04-01,524213.1,289692.3,284238.3,240127.4,23274.3,77841.0,-2511.2,92491.1,35923.9,-25.9,7527.6,57277.3,49749.7,7454.2,10780.2,3326.0,531667.3,516685.4,388296.3,128389.1,137039.2,526750.2
2002-07-01,524208.5,289352.8,284043.4,239795.5,23236.8,78635.4,-1504.3,93021.2,35675.2,-50.0,5841.3,55945.3,50103.9,7593.8,11061.1,3467.4,531802.3,518367.1,389720.7,128646.4,137547.4,525762.8
2002-10-01,524414.1,287913.3,282598.9,238230.9,22893.3,78430.7,312.1,92770.1,35100.4,-156.8,7151.0,59593.2,52442.2,7208.2,10583.7,3375.5,531622.3,517263.2,389549.4,127713.7,136424.4,524258.8
2003-01-01,521379.6,288501.5,283031.6,238518.1,22769.0,78088.4,-342.6,92642.3,33995.4,-67.7,5793.3,58667.6,52874.3,7801.4,10985.5,3184.1,529181.0,515586.3,389016.3,126570.0,134852.8,521789.8
2003-04-01,524512.7,286809.2,281151.4,236448.9,22839.8,78712.7,-798.8,94409.0,33996.7,71.2,8473.0,58913.0,50440.1,8031.9,10999.9,2968.0,532544.6,516039.7,387562.9,128476.9,135549.2,525240.4
2003-07-01,524383.3,286285.8,280508.6,235610.0,23402.5,77186.4,1683.4,93875.5,33107.2,-86.0,8928.4,60544.8,51616.4,9531.1,12391.6,2860.5,533914.4,515454.8,388558.1,126896.7,133696.1,522785.9
2003-10-01,526399.7,289336.6,283521.2,238510.3,23006.7,79970.6,-879.2,92644.3,32322.3,-315.8,10314.2,61940.2,51626.0,8474.1,11201.9,2727.8,534873.8,516085.5,391434.7,124650.8,135299.6,527594.7
2004-01-01,529368.1,289356.2,283589.6,238277.2,23334.7,79463.7,2765.7,93253.2,30910.7,-326.4,10610.4,64865.6,54255.2,9488.0,12196.9,2708.9,538856.1,518757.7,394920.3,123837.4,133709.1,526928.8
2004-04-01,527650.2,289032.4,283338.1,237821.2,23767.1,79091.3,773.7,93501.3,30708.5,97.4,10678.4,67343.3,56664.9,10201.8,13111.8,2910.0,537852.0,516971.8,392664.5,124307.2,133567.0,526779.1
2004-07-01,530478.3,290771.1,285112.0,239404.3,23866.8,79950.4,1867.5,93854.7,30198.6,88.9,9880.3,68715.4,58835.2,10478.2,13615.1,3136.8,540956.5,520598.0,396455.8,124142.2,134015.8,528521.9
2004-10-01,529920.4,289434.9,283760.2,237835.0,23905.9,81412.0,1510.6,94387.0,29920.8,186.8,9162.4,69573.2,60410.8,10923.1,14238.0,3314.8,540843.5,520758.0,396263.3,124494.7,135238.6,528223.0
2005-01-01,529915.4,290126.0,284396.5,238261.8,23518.2,83434.1,1333.8,94139.6,29289.6,160.8,7913.2,68319.5,60406.3,10423.9,14358.2,3934.3,540339.3,522002.2,398412.2,123590.0,136242.0,528420.8
2005-04-01,531339.4,290970.1,285163.1,238817.6,23396.6,86358.1,1124.9,94414.3,27513.9,-2.5,7564.0,71545.9,63981.9,11660.7,15806.2,4145.5,543000.1,523775.4,401849.7,121925.7,137268.5,530217.0
2005-07-01,534571.7,293072.5,287199.6,240622.9,23868.4,88052.4,688.2,94459.1,28069.1,24.6,6337.5,74497.3,68159.8,12356.8,16545.2,4188.3,546928.6,528234.2,405681.4,122552.8,139989.9,533859.0
2005-10-01,534747.7,293215.2,287300.3,240431.5,24209.0,86856.2,118.7,94744.4,27565.8,39.0,7999.4,79576.2,71576.7,13262.8,18002.3,4739.5,548010.5,526748.3,404399.1,122349.2,138631.0,534590.1
2006-01-01,534566.4,295060.9,289131.8,242083.9,24039.8,86659.1,-181.4,94268.9,28466.9,27.6,6224.6,81085.4,74860.7,14010.9,19170.8,5159.9,548577.3,528341.8,405578.4,122763.4,139165.8,534720.2
2006-04-01,533981.4,294201.3,288232.6,240990.5,24102.5,88077.4,-230.7,94285.7,27407.6,-38.6,6176.2,81996.4,75820.3,13879.2,19413.4,5534.2,547860.6,527805.2,406150.5,121654.7,139587.5,534250.7
2006-07-01,532225.8,292484.9,286466.3,239095.8,24268.2,88166.5,573.8,94094.6,26049.3,23.4,6565.0,84987.0,78422.0,14500.2,20181.2,5681.0,546726.0,525660.8,405493.5,120167.3,138484.1,531628.6
2006-10-01,539932.2,296201.8,290181.1,242628.9,24323.8,89801.8,701.0,93938.1,26415.8,-32.2,8582.0,86831.1,78249.1,15328.0,21638.3,6310.3,555260.2,531350.2,411028.5,120321.7,140541.4,539263.3
2007-01-01,541980.4,295620.1,289645.2,241856.2,24123.0,89957.2,2421.4,94045.3,26350.3,-55.7,9518.8,89874.1,80355.3,16363.6,23077.0,6713.4,558344.0,532461.6,412121.6,120340.0,140430.6,539614.7
2007-04-01,542023.0,297209.9,291285.3,243309.1,23846.2,89122.7,1012.3,95366.2,25803.9,137.9,9523.8,93323.2,83799.4,17109.7,23374.7,6265.0,559132.7,532499.2,411191.2,121308.0,138772.8,540872.8
2007-07-01,536472.7,294216.8,288328.8,240142.5,21917.8,87921.7,1388.1,94810.1,25503.8,42.8,10671.6,94290.5,83618.9,15352.5,23395.1,8042.6,551825.2,525801.0,405444.4,120356.6,135343.2,535041.8
2007-10-01,536838.0,295857.8,289998.4,241627.7,19566.4,87928.6,2973.9,96011.2,26188.6,63.5,8248.1,95453.7,87205.5,17169.4,24275.9,7106.6,554007.4,528589.9,406326.6,122263.3,133683.6,533800.7
