ID,AGE,GENDER,DATE_APPLY,DATE_BIMONTH,AMOUNT,ID_SHOP,DATE_REGISTER,DATE_MONTHLY,DATE_RECEIVED,CATEGORY_CODE_2,CATEGORY_NAME_2,CATEGORY_NAME_3,LARGE_AREA_CODE
000000941498492b5254f4bfb0df11663496a1a0f1dd1d0d90159a3939abb993,39,2,2007-05-01,2020-09-15,5972,53982078200018,2015-07-01,2020-09-01,1900-01-01,502,日本料理,寿司,1
000000941498492b5254f4bfb0df11663496a1a0f1dd1d0d90159a3939abb993,34,2,2007-05-01,2019-09-30,2774,45533000701578,2018-07-01,2019-09-01,1900-01-01,502,日本料理,寿司,1
000000941498492b5254f4bfb0df11663496a1a0f1dd1d0d90159a3939abb993,39,2,2007-05-01,2020-09-30,2774,45533000701578,2018-07-01,2020-09-01,1900-01-01,502,日本料理,寿司,1
000000941498492b5254f4bfb0df11663496a1a0f1dd1d0d90159a3939abb993,34,2,2007-05-01,2019-09-15,5972,53982078200018,2015-07-01,2019-09-01,1900-01-01,502,日本料理,寿司,1
000001571885262bbede9bee23f07c4fbf6020107c7625bb71d0275db25981bc,39,2,2018-03-01,2019-07-31,4320,14214767400000,1987-03-01,2019-07-01,1900-01-01,502,日本料理,割烹,7
000001571885262bbede9bee23f07c4fbf6020107c7625bb71d0275db25981bc,39,2,2018-03-01,2020-07-15,60500,33605230900018,2007-09-01,2020-07-01,1900-01-01,502,日本料理,日本料理（その他）,7
000001571885262bbede9bee23f07c4fbf6020107c7625bb71d0275db25981bc,39,2,2018-03-01,2020-07-31,4320,14214767400000,1987-03-01,2020-07-01,1900-01-01,502,日本料理,割烹,7
000002598a6311790cb081aca206c90474cc3b7f88737af1b2f8a42ea483db85,44,1,2012-05-01,2018-12-31,863,59817231800042,2017-05-01,2018-12-01,1900-01-01,504,ファミリーレストラン,ファミリーレストラン,3
000002598a6311790cb081aca206c90474cc3b7f88737af1b2f8a42ea483db85,44,1,2012-05-01,2020-12-15,1090,60917759500075,2017-09-01,2020-12-01,1900-01-01,501,喫茶・ファストフード・食堂,ファーストフード,3
000002598a6311790cb081aca206c90474cc3b7f88737af1b2f8a42ea483db85,44,1,2012-05-01,2016-12-31,4972,,,2016-12-01,1900-01-01,504,ファミリーレストラン,ファミリーレストラン,3
000002598a6311790cb081aca206c90474cc3b7f88737af1b2f8a42ea483db85,44,1,2012-05-01,2017-12-15,2872,,,2017-12-01,1900-01-01,504,ファミリーレストラン,ファミリーレストラン,3
