AREA,AREA_JP,AREA_EN,AREA_CODE,LARGE_AREA_JP,LARGE_AREA_EN,LARGE_AREA_CODE,LARGE_AREA_VRESAS_JP,LARGE_AREA_VRESAS_EN,LARGE_AREA_VRESAS_CODE
[1]北海道,北海道,Hokkaido,1,北海道,Hokkaido,1,北海道,Hokkaido,1
[2]青森県,青森県,Aomori,2,東北,Tohoku,2,東北,Tohoku,2
[3]岩手県,岩手県,Iwate,3,東北,Tohoku,2,東北,Tohoku,2
[4]宮城県,宮城県,Miyagi,4,東北,Tohoku,2,東北,Tohoku,2
[5]秋田県,秋田県,Akita,5,東北,Tohoku,2,東北,Tohoku,2
[6]山形県,山形県,Yamagata,6,東北,Tohoku,2,東北,Tohoku,2
[7]福島県,福島県,Fukushima,7,東北,Tohoku,2,東北,Tohoku,2
[8]茨城県,茨城県,Ibaraki,8,北関東・甲信,Kita_Kanto_Koshin,4,関東・甲信,Kanto_Koshin,11
[9]栃木県,栃木県,Tochigi,9,北関東・甲信,Kita_Kanto_Koshin,4,関東・甲信,Kanto_Koshin,11
[10]群馬県,群馬県,Gunma,10,北関東・甲信,Kita_Kanto_Koshin,4,関東・甲信,Kanto_Koshin,11
[11]埼玉県,埼玉県,Saitama,11,南関東,Minami_Kanto,3,関東・甲信,Kanto_Koshin,11
[12]千葉県,千葉県,Chiba,12,南関東,Minami_Kanto,3,関東・甲信,Kanto_Koshin,11
[13]東京都,東京都,Tokyo,13,南関東,Minami_Kanto,3,関東・甲信,Kanto_Koshin,11
[14]神奈川県,神奈川県,Kanagawa,14,南関東,Minami_Kanto,3,関東・甲信,Kanto_Koshin,11
[15]新潟県,新潟県,Niigata,15,北陸,Hokuriku,5,北陸,Hokuriku,5
[16]富山県,富山県,Toyama,16,北陸,Hokuriku,5,北陸,Hokuriku,5
[17]石川県,石川県,Ishikawa,17,北陸,Hokuriku,5,北陸,Hokuriku,5
[18]福井県,福井県,Fukui,18,北陸,Hokuriku,5,北陸,Hokuriku,5
[19]山梨県,山梨県,Yamanashi,19,北関東・甲信,Kita_Kanto_Koshin,4,関東・甲信,Kanto_Koshin,11
[20]長野県,長野県,Nagano,20,北関東・甲信,Kita_Kanto_Koshin,4,関東・甲信,Kanto_Koshin,11
[21]岐阜県,岐阜県,Gifu,21,東海,Tokai,6,東海,Tokai,6
[22]静岡県,静岡県,Shizuoka,22,東海,Tokai,6,東海,Tokai,6
[23]愛知県,愛知県,Aichi,23,東海,Tokai,6,東海,Tokai,6
[24]三重県,三重県,Mie,24,東海,Tokai,6,東海,Tokai,6
[25]滋賀県,滋賀県,Shiga,25,近畿,Kinki,7,近畿,Kinki,7
[26]京都府,京都府,Kyoto,26,近畿,Kinki,7,近畿,Kinki,7
[27]大阪府,大阪府,Osaka,27,近畿,Kinki,7,近畿,Kinki,7
[28]兵庫県,兵庫県,Hyogo,28,近畿,Kinki,7,近畿,Kinki,7
[29]奈良県,奈良県,Nara,29,近畿,Kinki,7,近畿,Kinki,7
[30]和歌山県,和歌山県,Wakayama,30,近畿,Kinki,7,近畿,Kinki,7
[31]鳥取県,鳥取県,Tottori,31,中国,Chugoku,8,中国,Chugoku,8
[32]島根県,島根県,Shimane,32,中国,Chugoku,8,中国,Chugoku,8
[33]岡山県,岡山県,Okayama,33,中国,Chugoku,8,中国,Chugoku,8
[34]広島県,広島県,Hiroshima,34,中国,Chugoku,8,中国,Chugoku,8
[35]山口県,山口県,Yamaguchi,35,中国,Chugoku,8,中国,Chugoku,8
[36]徳島県,徳島県,Tokushima,36,四国,Shikoku,9,四国,Shikoku,9
[37]香川県,香川県,Kagawa,37,四国,Shikoku,9,四国,Shikoku,9
[38]愛媛県,愛媛県,Ehime,38,四国,Shikoku,9,四国,Shikoku,9
[39]高知県,高知県,Kochi,39,四国,Shikoku,9,四国,Shikoku,9
[40]福岡県,福岡県,Fukuoka,40,九州,Kyushu,10,九州,Kyushu,10
[41]佐賀県,佐賀県,Saga,41,九州,Kyushu,10,九州,Kyushu,10
[42]長崎県,長崎県,Nagasaki,42,九州,Kyushu,10,九州,Kyushu,10
[43]熊本県,熊本県,Kumamoto,43,九州,Kyushu,10,九州,Kyushu,10
[44]大分県,大分県,Oita,44,九州,Kyushu,10,九州,Kyushu,10
[45]宮崎県,宮崎県,Miyazaki,45,九州,Kyushu,10,九州,Kyushu,10
[46]鹿児島県,鹿児島県,Kagoshima,46,九州,Kyushu,10,九州,Kyushu,10
[47]沖縄県,沖縄県,Okinawa,47,九州,Kyushu,10,九州,Kyushu,10
