LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,90,98,106,115,116,122,143,164,197,190,176,177,206,253,188,173,146,172
2,152,169,187,203,176,193,229,260,295,285,275,305,345,390,273,280,270,326
3,694,709,719,797,972,1012,1133,1244,1475,1433,1156,995,1032,1371,1084,946,742,776
4,180,199,218,230,201,215,252,289,351,337,294,298,340,419,305,272,235,310
5,95,105,115,123,107,114,132,154,188,176,157,163,185,239,166,156,150,196
6,302,326,338,359,346,367,416,464,569,544,459,432,464,609,462,414,340,385
7,393,424,444,502,525,521,579,651,815,792,661,597,647,895,684,610,494,542
8,145,156,161,172,163,168,195,218,266,247,213,224,250,332,244,223,208,269
9,68,75,80,86,72,80,96,110,135,125,114,123,141,182,127,121,115,153
10,309,327,327,347,325,347,411,452,503,474,435,472,531,612,420,425,386,492
