LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,90,100,107,117,119,117,134,151,183,188,165,164,169,210,165,130,100,85
2,153,170,188,208,194,196,227,257,299,299,276,294,315,365,270,211,170,146
3,721,743,750,840,1059,1088,1164,1270,1463,1586,1361,1114,981,1159,1042,853,575,410
4,182,202,221,235,233,235,264,296,354,374,320,301,315,378,316,250,171,150
5,97,107,116,127,122,119,134,150,186,191,163,159,167,204,173,132,95,87
6,308,337,348,371,389,398,440,475,562,602,509,451,427,518,461,374,255,194
7,400,435,456,512,538,506,548,598,731,807,679,594,562,711,648,531,359,265
8,146,160,166,179,176,172,192,211,255,262,216,211,223,280,241,185,136,120
9,69,76,82,87,79,77,92,105,128,129,111,113,121,154,129,96,73,68
10,317,339,342,351,333,323,379,422,477,470,415,429,468,550,410,321,247,217
