DATE,PX_LAST,YLD_YTM_MYLD,YTM_BID
2010/01/04,0.137,0.137,0.137
2010/01/05,0.138,0.138,0.138
2010/01/06,0.141,0.141,0.141
2010/01/07,0.137,0.137,0.137
2010/01/08,0.136,0.136,0.136
2010/01/11,0.136,0.136,0.136
2010/01/12,0.137,0.137,0.137
2010/01/13,0.137,0.137,0.137
2010/01/14,0.132,0.132,0.132
2010/01/15,0.131,0.131,0.131
2010/01/18,0.132,0.132,0.132
2010/01/19,0.133,0.133,0.133
2010/01/20,0.135,0.135,0.135
2010/01/21,0.133,0.133,0.133
2010/01/22,0.126,0.126,0.126
2010/01/25,0.128,0.128,0.128
2010/01/26,0.128,0.128,0.128
2010/01/27,0.13,0.13,0.13
2010/01/28,0.127,0.127,0.127
2010/01/29,0.126,0.126,0.126
2010/02/01,0.128,0.128,0.128
2010/02/02,0.127,0.127,0.127
2010/02/03,0.13,0.13,0.13
2010/02/04,0.127,0.127,0.127
2010/02/05,0.126,0.126,0.126
2010/02/08,0.129,0.129,0.129
2010/02/09,0.129,0.129,0.129
2010/02/10,0.132,0.132,0.132
2010/02/11,0.132,0.132,0.132
2010/02/12,0.131,0.131,0.131
2010/02/15,0.132,0.132,0.132
2010/02/16,0.133,0.133,0.133
2010/02/17,0.136,0.136,0.136
2010/02/18,0.132,0.132,0.132
2010/02/19,0.131,0.131,0.131
2010/02/22,0.132,0.132,0.132
2010/02/23,0.133,0.133,0.133
2010/02/24,0.136,0.136,0.136
2010/02/25,0.137,0.137,0.137
2010/02/26,0.136,0.136,0.136
2010/03/01,0.138,0.138,0.138
2010/03/02,0.134,0.134,0.134
2010/03/03,0.136,0.136,0.136
2010/03/04,0.132,0.132,0.132
2010/03/05,0.126,0.126,0.126
2010/03/08,0.128,0.128,0.128
2010/03/09,0.128,0.128,0.128
2010/03/10,0.13,0.13,0.13
2010/03/11,0.132,0.132,0.132
2010/03/12,0.131,0.131,0.131
2010/03/15,0.132,0.132,0.132
2010/03/16,0.133,0.133,0.133
2010/03/17,0.132,0.132,0.132
2010/03/18,0.132,0.132,0.132
2010/03/19,0.131,0.131,0.131
2010/03/22,0.131,0.131,0.131
2010/03/23,0.133,0.133,0.133
2010/03/24,0.136,0.136,0.136
2010/03/25,0.132,0.132,0.132
2010/03/26,0.131,0.131,0.131
2010/03/29,0.132,0.132,0.132
2010/03/30,0.133,0.133,0.133
2010/03/31,0.135,0.135,0.135
2010/04/01,0.134,0.134,0.134
2010/04/02,0.133,0.133,0.133
2010/04/05,0.132,0.132,0.132
2010/04/06,0.132,0.132,0.132
2010/04/07,0.132,0.132,0.132
2010/04/08,0.132,0.132,0.132
2010/04/09,0.131,0.131,0.131
2010/04/12,0.132,0.132,0.132
2010/04/13,0.133,0.133,0.133
2010/04/14,0.136,0.136,0.136
2010/04/15,0.132,0.132,0.132
2010/04/16,0.131,0.131,0.131
2010/04/19,0.133,0.133,0.133
2010/04/20,0.132,0.132,0.132
2010/04/21,0.135,0.135,0.135
2010/04/22,0.13,0.13,0.13
2010/04/23,0.13,0.13,0.13
2010/04/26,0.133,0.133,0.133
2010/04/27,0.136,0.136,0.136
2010/04/28,0.135,0.135,0.135
2010/04/29,0.134,0.134,0.134
2010/04/30,0.138,0.138,0.138
2010/05/03,0.138,0.138,0.138
2010/05/04,0.138,0.138,0.138
2010/05/05,0.138,0.138,0.138
2010/05/06,0.134,0.134,0.134
2010/05/07,0.131,0.131,0.131
2010/05/10,0.127,0.127,0.127
2010/05/11,0.127,0.127,0.127
2010/05/12,0.13,0.13,0.13
2010/05/13,0.125,0.125,0.125
2010/05/14,0.125,0.125,0.125
2010/05/17,0.127,0.127,0.127
2010/05/18,0.128,0.128,0.128
2010/05/19,0.129,0.129,0.129
2010/05/20,0.12,0.12,0.12
2010/05/21,0.12,0.12,0.12
2010/05/24,0.123,0.123,0.123
2010/05/25,0.123,0.123,0.123
2010/05/26,0.124,0.124,0.124
2010/05/27,0.125,0.125,0.125
2010/05/28,0.125,0.125,0.125
2010/05/31,0.127,0.127,0.127
2010/06/01,0.128,0.128,0.128
2010/06/02,0.13,0.13,0.13
2010/06/03,0.125,0.125,0.125
2010/06/04,0.125,0.125,0.125
2010/06/07,0.127,0.127,0.127
2010/06/08,0.128,0.128,0.128
2010/06/09,0.13,0.13,0.13
2010/06/10,0.125,0.125,0.125
2010/06/11,0.125,0.125,0.125
2010/06/14,0.127,0.127,0.127
2010/06/15,0.128,0.128,0.128
2010/06/16,0.13,0.13,0.13
2010/06/17,0.125,0.125,0.125
2010/06/18,0.125,0.125,0.125
2010/06/21,0.127,0.127,0.127
2010/06/22,0.128,0.128,0.128
2010/06/23,0.13,0.13,0.13
2010/06/24,0.125,0.125,0.125
2010/06/25,0.126,0.126,0.126
2010/06/28,0.128,0.128,0.128
2010/06/29,0.128,0.128,0.128
2010/06/30,0.13,0.13,0.13
2010/07/01,0.125,0.125,0.125
2010/07/02,0.125,0.125,0.125
2010/07/05,0.126,0.126,0.126
2010/07/06,0.127,0.127,0.127
