DATE,TICKER,TOTAL_SALES
"2013-01","2138","985151"
"2013-02","2138","1177610"
"2013-03","2138","1852193"
"2013-04","2138","1595681"
"2013-05","2138","1997601"
"2013-06","2138","2702502"
"2013-07","2138","3491116"
"2013-08","2138","2902185"
"2013-09","2138","2780034"
"2013-10","2138","3658930"
"2013-11","2138","3960480"
"2013-12","2138","4011326"
"2014-01","2138","3470893"
"2014-02","2138","2553303"
"2014-03","2138","3172925"
"2014-04","2138","4401640"
"2014-05","2138","4589473"
"2014-06","2138","5554308"
"2014-07","2138","6969550"
"2014-08","2138","5574237"
"2014-09","2138","7906877"
"2014-10","2138","10774547"
"2014-11","2138","17728977"
"2014-12","2138","13181922"
"2015-01","2138","8996515"
"2015-02","2138","7539790"
"2015-03","2138","9143436"
"2015-04","2138","11929934"
"2015-05","2138","13562745"
"2015-06","2138","14987011"
"2015-07","2138","23257584"
"2015-08","2138","15121394"
"2015-09","2138","15290548"
"2015-10","2138","21725123"
"2015-11","2138","31727553"
"2015-12","2138","17580210"
"2016-01","2138","16510392"
"2016-02","2138","11171528"
"2016-03","2138","17522285"
"2016-04","2138","22134032"
"2016-05","2138","27970678"
"2016-06","2138","21450123"
"2016-07","2138","33959017"
"2016-08","2138","20267438"
"2016-09","2138","18718355"
"2016-10","2138","25214807"
"2016-11","2138","35962354"
"2016-12","2138","26471283"
"2017-01","2138","23948943"
"2017-02","2138","14443413"
"2017-03","2138","20803963"
"2017-04","2138","26972968"
"2017-05","2138","30149324"
"2017-06","2138","26226330"
"2017-07","2138","36554414"
"2017-08","2138","20482666"
"2017-09","2138","19631638"
"2017-10","2138","29424327"
"2017-11","2138","36279353"
"2017-12","2138","26027380"
"2018-01","2138","25184110"
"2018-02","2138","18322470"
"2018-03","2138","24397150"
"2018-04","2138","30444570"
"2018-05","2138","32718221"
"2018-06","2138","26200047"
"2018-07","2138","43753278"
"2018-08","2138","26201286"
"2018-09","2138","21794115"
"2018-10","2138","30127849"
"2018-11","2138","41381682"
"2018-12","2138","28173101"
"2019-01","2138","29624288"
"2019-02","2138","16896650"
"2019-03","2138","23011409"
"2019-04","2138","32480485"
"2019-05","2138","27850202"
"2019-06","2138","27906183"
"2019-07","2138","39293675"
"2019-08","2138","30179225"
"2019-09","2138","24423977"
"2019-10","2138","29057011"
"2019-11","2138","36150113"
"2019-12","2138","25907222"
"2020-01","2138","24772572"
"2020-02","2138","18800390"
"2020-03","2138","21850538"
"2020-04","2138","28638334"
"2020-05","2138","37555084"
"2020-06","2138","32278757"
"2020-07","2138","40798274"
"2020-08","2138","29654629"
"2020-09","2138","25876794"
"2020-10","2138","37889144"
"2020-11","2138","41217256"
