Date,Return,Num_Stocks,Num_Calculated_Stocks,Strategy,Stability_Level,Cumulative_Return,Cumulative_Return_Index
2022-07-01,0.047735573359635505,27,25,Aggressive,High_Stability,1.0477355733596354,1.0
2022-08-01,0.023913621293822383,26,24,Aggressive,High_Stability,1.0727907250770237,1.0239136212938225
2022-09-01,-0.008499554049215614,27,25,Balanced,High_Stability,1.0636724823257342,1.0152108121279075
2022-10-01,0.06101552131648844,26,24,Balanced,High_Stability,1.1285730133448422,1.0771544290760273
2022-11-01,0.006036073145858222,26,24,Balanced,High_Stability,1.1353851626038332,1.0836562119993152
2022-12-01,-0.011020979304324153,25,23,Balanced,High_Stability,1.1228721062243396,1.0717132593138685
2023-01-01,0.020488905784041486,25,23,Aggressive,High_Stability,1.1458785270162983,1.0936714913114582
2023-02-01,-0.02586879635104744,25,23,Aggressive,High_Stability,1.1162360287578754,1.0653795262277759
2023-03-01,0.019530858415657326,25,22,Aggressive,Medium_Stability,1.138037076594001,1.0861873029134705
2023-04-01,0.04252832088609613,25,23,Aggressive,Medium_Stability,1.1864358825676655,1.132381025074178
2023-05-01,-0.011897958267805249,27,25,Aggressive,High_Stability,1.1723197179494487,1.1189080028945908
2023-06-01,0.057209311766046544,29,27,Aggressive,High_Stability,1.2393873221831024,1.182919959669712
2023-07-01,0.03234969304234662,29,27,Aggressive,High_Stability,1.2794811216163018,1.2211870572586923
2023-08-01,0.01785098197938411,29,27,Aggressive,High_Stability,1.3023211160612367,1.2429864454112745
2023-09-01,-0.002239302312871826,29,27,Aggressive,High_Stability,1.299404825373939,1.2402030229891965
2023-10-01,-0.019004708030729553,25,23,Aggressive,High_Stability,1.2747100160539862,1.2166333266384588
2023-11-01,0.030860253074991094,25,23,Aggressive,High_Stability,1.314047889746638,1.2541789389979898
2023-12-01,0.018268193271501042,25,23,Aggressive,High_Stability,1.3380531705645378,1.2770905222526512
2024-01-01,0.03666406659514751,25,23,Aggressive,High_Stability,1.387111641117964,1.323913854208554
2024-02-01,0.04043576895835449,25,23,Aggressive,High_Stability,1.443200566957654,1.3774473289380957
2024-03-01,0.037422333705653926,28,25,Aggressive,High_Stability,1.497208500178532,1.4289946225435786
2024-04-01,-0.03459030344016259,28,26,Aggressive,High_Stability,1.445419603844166,1.3795652649354357
2024-05-01,0.020727788981813853,25,23,Aggressive,High_Stability,1.4753799563828247,1.4081606026336573
2024-06-01,0.0010537930234246753,25,23,Balanced,High_Stability,1.4769347014877616,1.4096445124525743
2024-07-01,0.024428846490928666,24,22,Balanced,High_Stability,1.5130145125875316,1.4440805018540581
2024-08-01,0.033822863351528315,24,22,Balanced,High_Stability,1.564188995695659,1.4929234393368744
