年月,メーカー,件数,登録台数
2021-01,スズキ,1198,9832.0
2021-01,ダイハツ,792,3824.0
2021-01,トヨタ,367,122521.0
2021-01,ホンダ,333,18396.0
2021-01,マツダ,37,12208.0
2021-01,日産,331,20019.0
2021-01,輸入車,41,26032.0
2021-01,ＳＵＢＡＲＵ,7,9685.0
2021-02,スズキ,1338,10367.0
2021-02,ダイハツ,1097,4156.0
2021-02,トヨタ,408,131879.0
2021-02,ホンダ,445,22679.0
2021-02,マツダ,52,14489.0
2021-02,三菱,14,3607.0
2021-02,日産,371,22156.0
2021-02,輸入車,35,30292.0
2021-02,ＳＵＢＡＲＵ,9,8374.0
2021-03,スズキ,1535,14238.0
2021-03,ダイハツ,1063,5110.0
2021-03,トヨタ,572,184179.0
2021-03,ホンダ,683,32337.0
2021-03,マツダ,103,24899.0
2021-03,三菱,18,5644.0
2021-03,日産,461,35582.0
2021-03,輸入車,45,45040.0
2021-03,ＳＵＢＡＲＵ,15,13110.0
2021-04,スズキ,1006,9946.0
2021-04,ダイハツ,629,2584.0
2021-04,トヨタ,415,117642.0
2021-04,ホンダ,378,20177.0
2021-04,マツダ,45,6673.0
2021-04,三菱,5,2146.0
2021-04,日産,238,13550.0
2021-04,輸入車,30,22082.0
2021-04,ＳＵＢＡＲＵ,7,5402.0
2021-05,スズキ,971,7468.0
2021-05,ダイハツ,614,2570.0
2021-05,トヨタ,348,103824.0
2021-05,ホンダ,429,15605.0
2021-05,マツダ,31,6376.0
2021-05,日産,211,13759.0
2021-05,輸入車,31,25993.0
2021-05,ＳＵＢＡＲＵ,2,4797.0
2021-06,スズキ,859,6091.0
2021-06,ダイハツ,748,3177.0
2021-06,トヨタ,296,120832.0
2021-06,ホンダ,371,20203.0
2021-06,マツダ,51,6883.0
2021-06,三菱,5,1695.0
2021-06,日産,210,16967.0
2021-06,輸入車,33,37379.0
2021-06,ＳＵＢＡＲＵ,9,5459.0
2021-07,スズキ,1055,6572.0
2021-07,ダイハツ,714,3266.0
2021-07,トヨタ,408,134616.0
2021-07,ホンダ,458,25443.0
