Year_Month,Recommended_Stocks_mean,Recommended_Stocks_min,Recommended_Stocks_max,Recommended_Stocks_count,Recommended_Stocks_std,Recent_Alpha_mean,Recent_Alpha_min,Recent_Alpha_max,Recent_Alpha_std,Alpha_Volatility_mean,Alpha_Volatility_min,Alpha_Volatility_max,Alpha_Volatility_std,Alpha_Trend_mean,Alpha_Trend_min,Alpha_Trend_max,Alpha_Trend_std,Volatility_Rank_mean,Volatility_Rank_min,Volatility_Rank_max,Volatility_Rank_std,Alpha_Z_Score_mean,Alpha_Z_Score_min,Alpha_Z_Score_max,Alpha_Z_Score_std,Strategy_<lambda>,Stability_Level_<lambda>,Alpha_Above_Threshold_sum,Volatility_Below_Threshold_sum,Is_High_Alpha_sum,Is_Low_Volatility_sum,Alpha_Trend_Positive_sum,Z_Score_Extreme_sum,Year,Month
2022-07,67.0,67,67,1,,0.0059,0.0059,0.0059,,0.0022,0.0022,0.0022,,-0.0007,-0.0007,-0.0007,,0.6695,0.6695,0.6695,,-0.5851,-0.5851,-0.5851,,Aggressive,High_Stability,0,1,0,0,0,0,2022,7
2022-08,67.0,67,67,1,,0.0057,0.0057,0.0057,,0.0023,0.0023,0.0023,,-0.001,-0.001,-0.001,,0.6518,0.6518,0.6518,,-0.6164,-0.6164,-0.6164,,Aggressive,High_Stability,0,1,0,0,0,0,2022,8
2022-09,67.0,67,67,1,,0.0048,0.0048,0.0048,,0.0021,0.0021,0.0021,,-0.0009,-0.0009,-0.0009,,0.6736,0.6736,0.6736,,-0.755,-0.755,-0.755,,Balanced,High_Stability,0,1,0,0,0,0,2022,9
2022-10,67.0,67,67,1,,0.0043,0.0043,0.0043,,0.0019,0.0019,0.0019,,-0.0006,-0.0006,-0.0006,,0.7118,0.7118,0.7118,,-0.8285,-0.8285,-0.8285,,Balanced,High_Stability,0,1,0,0,0,0,2022,10
2022-11,67.0,67,67,1,,0.0043,0.0043,0.0043,,0.0019,0.0019,0.0019,,0.0003,0.0003,0.0003,,0.7144,0.7144,0.7144,,-0.83,-0.83,-0.83,,Balanced,High_Stability,0,1,0,1,1,0,2022,11
2022-12,67.0,67,67,1,,0.0071,0.0071,0.0071,,0.0076,0.0076,0.0076,,0.0032,0.0032,0.0032,,0.0,0.0,0.0,,-0.4069,-0.4069,-0.4069,,Balanced,High_Stability,0,1,0,0,1,0,2022,12
2023-01,67.0,67,67,1,,0.0099,0.0099,0.0099,,0.0086,0.0086,0.0086,,0.0039,0.0039,0.0039,,0.0,0.0,0.0,,0.0313,0.0313,0.0313,,Aggressive,High_Stability,0,1,0,0,1,0,2023,1
2023-02,67.0,67,67,1,,0.0125,0.0125,0.0125,,0.0088,0.0088,0.0088,,0.0041,0.0041,0.0041,,0.0,0.0,0.0,,0.4231,0.4231,0.4231,,Aggressive,High_Stability,1,1,0,0,1,0,2023,2
2023-03,67.0,67,67,1,,0.015,0.015,0.015,,0.0075,0.0075,0.0075,,0.0029,0.0029,0.0029,,0.0,0.0,0.0,,0.8007,0.8007,0.8007,,Aggressive,Medium_Stability,1,1,0,0,1,0,2023,3
2023-04,67.0,67,67,1,,0.0171,0.0171,0.0171,,0.0052,0.0052,0.0052,,0.001,0.001,0.001,,0.2031,0.2031,0.2031,,1.1317,1.1317,1.1317,,Aggressive,Medium_Stability,1,1,1,0,1,0,2023,4
