年月,UDトラックス,いすゞ,スズキ,ダイハツ,トヨタ,ホンダ,マツダ,三菱,三菱ふそう,日産,日野,輸入車,ＳＵＢＡＲＵ
2021-01-01,349.0,4710.0,9832.0,3824.0,122521.0,18396.0,12208.0,3187.0,1819.0,20019.0,4010.0,26032.0,9685.0
2021-02-01,561.0,6195.0,10367.0,4156.0,131879.0,22679.0,14489.0,3607.0,2483.0,22156.0,5134.0,30292.0,8374.0
2021-03-01,1345.0,9899.0,14238.0,5110.0,184179.0,32337.0,24899.0,5644.0,4624.0,35582.0,8107.0,45040.0,13110.0
2021-04-01,504.0,3783.0,9946.0,2584.0,117642.0,20177.0,6673.0,2146.0,2401.0,13550.0,3463.0,22082.0,5402.0
2021-05-01,583.0,4574.0,7468.0,2570.0,103824.0,15605.0,6376.0,1742.0,2528.0,13759.0,3931.0,25993.0,4797.0
2021-06-01,918.0,5953.0,6091.0,3177.0,120832.0,20203.0,6883.0,1695.0,3649.0,16967.0,5491.0,37379.0,5459.0
2021-07-01,644.0,5485.0,6572.0,3266.0,134616.0,25443.0,8433.0,1663.0,2824.0,19380.0,4809.0,27716.0,6297.0
2021-08-01,775.0,5386.0,5309.0,2672.0,106374.0,20335.0,8023.0,2356.0,2723.0,18063.0,4993.0,23913.0,5646.0
2021-09-01,921.0,6437.0,6012.0,1543.0,90383.0,20811.0,7914.0,3072.0,2922.0,20877.0,5919.0,33961.0,4651.0
2021-10-01,797.0,3519.0,7474.0,1498.0,80281.0,26134.0,7658.0,2311.0,2139.0,14655.0,4487.0,20083.0,5707.0
2021-11-01,847.0,3601.0,7920.0,5295.0,111357.0,24200.0,7723.0,1888.0,1824.0,19289.0,4901.0,22958.0,7473.0
2021-12-01,1096.0,3519.0,6387.0,3677.0,108850.0,21866.0,12114.0,2600.0,2170.0,16122.0,4765.0,29103.0,6513.0
2022-01-01,462.0,2782.0,8113.0,3183.0,105626.0,20465.0,10324.0,4361.0,1921.0,19206.0,3916.0,21764.0,5000.0
2022-02-01,637.0,3166.0,7557.0,3187.0,96608.0,23091.0,16094.0,4169.0,2238.0,22861.0,4706.0,24794.0,4591.0
2022-03-01,1107.0,4616.0,10962.0,4219.0,157140.0,34031.0,18760.0,5993.0,2859.0,33608.0,6961.0,35650.0,11387.0
2022-04-01,710.0,2502.0,5761.0,2598.0,97715.0,14710.0,5313.0,1961.0,1920.0,15951.0,3296.0,20588.0,5736.0
2022-05-01,696.0,2633.0,6531.0,1795.0,81878.0,16701.0,3048.0,3248.0,1851.0,14245.0,3021.0,22227.0,3480.0
2022-06-01,876.0,2919.0,7883.0,2471.0,88289.0,23301.0,8942.0,3923.0,2081.0,18502.0,3259.0,28931.0,6153.0
2022-07-01,646.0,3363.0,7330.0,3741.0,98744.0,25178.0,12259.0,5053.0,2027.0,22553.0,3217.0,20691.0,9332.0
2022-08-01,670.0,3608.0,7852.0,2586.0,78295.0,20997.0,9923.0,3845.0,2201.0,19085.0,3063.0,20602.0,6348.0
2022-09-01,1018.0,5443.0,10293.0,2990.0,115163.0,20896.0,12304.0,4816.0,2297.0,23128.0,3559.0,32214.0,7921.0
2022-10-01,922.0,3225.0,9017.0,3531.0,109428.0,19721.0,11655.0,2555.0,2223.0,16643.0,2020.0,23392.0,7210.0
2022-11-01,985.0,4181.0,9709.0,3398.0,105748.0,25768.0,7918.0,3153.0,2378.0,20283.0,2289.0,28305.0,7426.0
2022-12-01,1008.0,4513.0,9201.0,2600.0,95139.0,22036.0,8861.0,3494.0,3368.0,19054.0,2379.0,30601.0,6836.0
2023-01-01,678.0,4121.0,10605.0,2909.0,125642.0,17199.0,11767.0,3938.0,1964.0,20388.0,2643.0,20099.0,7544.0
2023-02-01,757.0,5626.0,11090.0,3449.0,150876.0,21456.0,13227.0,3559.0,2620.0,23945.0,3290.0,24331.0,5611.0
2023-03-01,1240.0,9324.0,14418.0,4378.0,201031.0,32644.0,19828.0,6016.0,4133.0,34481.0,4998.0,35693.0,10373.0
2023-04-01,695.0,3946.0,9015.0,2889.0,120151.0,15535.0,11255.0,3745.0,2765.0,21033.0,2775.0,20040.0,6143.0
2023-05-01,764.0,4048.0,8236.0,1704.0,111602.0,15763.0,8004.0,2893.0,2815.0,19783.0,2849.0,23194.0,5008.0
2023-06-01,1015.0,5675.0,9279.0,972.0,136653.0,21065.0,12096.0,3980.0,3478.0,25714.0,3756.0,29677.0,6434.0
2023-07-01,781.0,5327.0,9301.0,1000.0,137194.0,23552.0,10787.0,3460.0,3154.0,24585.0,3325.0,23527.0,7248.0
2023-08-01,835.0,6245.0,8009.0,1617.0,116166.0,17873.0,8860.0,2853.0,3041.0,17980.0,3513.0,21403.0,5470.0
2023-09-01,943.0,6636.0,10394.0,3020.0,138988.0,25524.0,7589.0,4568.0,3560.0,26566.0,3153.0,33092.0,8175.0
2023-10-01,798.0,4170.0,9397.0,2421.0,129000.0,27337.0,10809.0,3527.0,3083.0,20187.0,1913.0,21692.0,8810.0
2023-11-01,766.0,4322.0,9010.0,1947.0,134529.0,29717.0,9883.0,3223.0,3022.0,21512.0,2637.0,25233.0,9253.0
2023-12-01,856.0,5150.0,8529.0,1785.0,110303.0,25985.0,8275.0,3055.0,4050.0,18313.0,2904.0,33386.0,9729.0
2024-01-01,513.0,4105.0,10889.0,873.0,109375.0,27864.0,6968.0,2817.0,2015.0,22524.0,2547.0,18319.0,8117.0
2024-02-01,708.0,5274.0,12267.0,401.0,102223.0,31966.0,7838.0,3582.0,2518.0,25858.0,3221.0,23878.0,7035.0
2024-03-01,1351.0,6723.0,16332.0,317.0,131784.0,41136.0,10000.0,5152.0,3761.0,34133.0,4678.0,37827.0,10022.0
2024-04-01,508.0,4088.0,10214.0,296.0,106464.0,26559.0,6839.0,2175.0,3087.0,17884.0,3043.0,20555.0,5824.0
2024-05-01,596.0,4367.0,9284.0,630.0,100469.0,23543.0,6509.0,2499.0,2448.0,17477.0,3215.0,24114.0,6492.0
2024-06-01,767.0,5586.0,10183.0,1294.0,118929.0,30639.0,5818.0,3058.0,3116.0,21175.0,3820.0,29801.0,7375.0
2024-07-01,918.0,6118.0,10558.0,1395.0,137510.0,30865.0,7695.0,3694.0,2826.0,24257.0,3678.0,24860.0,8820.0
2024-08-01,863.0,5536.0,8090.0,1833.0,106623.0,21952.0,6723.0,2897.0,2527.0,18727.0,3269.0,22953.0,6690.0
2024-09-01,1119.0,7921.0,10815.0,2919.0,130717.0,30518.0,9425.0,3748.0,2893.0,27722.0,4111.0,33080.0,9390.0
